date,year,week,cases,population,incidence_per_100k,epidemic
1990-01-01,1990,1,84268.0,5025196.0,1676.9097165563294,1
1990-01-08,1990,2,93313.0,5025196.0,1856.902695934646,1
1990-01-15,1990,3,96043.0,5025196.0,1911.2289351499921,1
1990-01-22,1990,4,94043.0,5025196.0,1871.429492501387,1
1990-01-29,1990,5,86911.0,5025196.0,1729.504680016461,1
1990-02-05,1990,6,69322.0,5025196.0,1379.488481643303,1
1990-02-12,1990,7,58230.0,5025196.0,1158.760772714139,1
1990-02-19,1990,8,52152.0,5025196.0,1037.8102665050278,0
1990-02-26,1990,9,44710.0,5025196.0,889.7165404095681,0
1990-03-05,1990,10,35270.0,5025196.0,701.8631711081518,0
1990-03-12,1990,11,39309.0,5025196.0,782.2381455370099,0
1990-03-19,1990,12,36082.0,5025196.0,718.0217448234855,0
1990-03-26,1990,13,32499.0,5025196.0,646.7210433185094,0
1990-04-02,1990,14,33407.0,5025196.0,664.7899902809761,0
1990-04-09,1990,15,32838.0,5025196.0,653.4670488474479,0
1990-04-16,1990,16,33065.0,5025196.0,657.9842855880646,0
1990-04-23,1990,17,35581.0,5025196.0,708.0519844400098,0
1990-04-30,1990,18,17151.0,5025196.0,341.3001204331135,0
1990-05-07,1990,19,22559.0,5025196.0,448.91781335494176,0
1990-05-14,1990,20,26323.0,5025196.0,523.8203644196167,0
1990-05-21,1990,21,25763.0,5025196.0,512.6765204780072,0
1990-05-28,1990,22,23478.0,5025196.0,467.2056572519758,0
1990-06-04,1990,23,20161.0,5025196.0,401.1982816192642,0
1990-06-11,1990,24,16423.0,5025196.0,326.8131233090212,0
1990-06-18,1990,25,13958.0,5025196.0,277.7603102446153,0
1990-06-25,1990,26,10876.0,5025196.0,216.4293691231148,0
1990-07-02,1990,27,9303.0,5025196.0,185.12710747998685,0
1990-07-09,1990,28,7468.0,5025196.0,148.61111884989162,0
1990-07-16,1990,29,7148.0,5025196.0,142.24320802611481,0
1990-07-23,1990,30,6875.0,5025196.0,136.8105841045802,0
1990-07-30,1990,31,7347.0,5025196.0,146.20325256965103,0
1990-08-06,1990,32,7498.0,5025196.0,149.2081104896207,0
1990-08-13,1990,33,8386.0,5025196.0,166.8790630256014,0
1990-08-20,1990,34,9704.0,5025196.0,193.10689573103218,0
1990-08-27,1990,35,12828.0,5025196.0,255.27362514815343,0
1990-09-03,1990,36,20843.0,5025196.0,414.76989156243854,0
1990-09-10,1990,37,35496.0,5025196.0,706.3605081274442,0
1990-09-17,1990,38,40840.0,5025196.0,812.7046188845171,0
1990-09-24,1990,39,37774.0,5025196.0,751.6920733042055,0
1990-10-01,1990,40,33706.0,5025196.0,670.7400069569426,0
1990-10-08,1990,41,32139.0,5025196.0,639.5571436417605,0
1990-10-15,1990,42,30277.0,5025196.0,602.5038625359091,0
1990-10-22,1990,43,30185.0,5025196.0,600.6730881740732,0
1990-10-29,1990,44,30199.0,5025196.0,600.9516842726134,0
1990-11-05,1990,45,19454.0,5025196.0,387.1291786429823,0
1990-11-12,1990,46,28616.0,5025196.0,569.4504254162425,0
1990-11-19,1990,47,33589.0,5025196.0,668.4117395619992,0
1990-11-26,1990,48,38370.0,5025196.0,763.5523072134898,0
1990-12-03,1990,49,40229.0,5025196.0,800.5458891553683,0
1990-12-10,1990,50,41106.0,5025196.0,817.9979447567816,0
1990-12-17,1990,51,41643.0,5025196.0,828.6840951079321,0
1990-12-24,1990,52,41752.0,5025196.0,830.8531647322811,0
1990-12-31,1991,1,28586.0,5209325.0,548.7467186247738,0
1991-01-07,1991,2,33787.0,5209325.0,648.5869090525164,0
1991-01-14,1991,3,40850.0,5209325.0,784.1706938998815,0
1991-01-21,1991,4,40543.0,5209325.0,778.2774159799974,0
1991-01-28,1991,5,52712.0,5209325.0,1011.8777384785936,0
1991-02-04,1991,6,77062.0,5209325.0,1479.3087396159772,1
1991-02-11,1991,7,123126.0,5209325.0,2363.569176428808,1
1991-02-18,1991,8,155327.0,5209325.0,2981.710682286093,1
1991-02-25,1991,9,131511.0,5209325.0,2524.5305293872048,1
1991-03-04,1991,10,79590.0,5209325.0,1527.837099816195,1
1991-03-11,1991,11,73857.0,5209325.0,1417.7844538399888,1
1991-03-18,1991,12,55574.0,5209325.0,1066.8176779141252,0
1991-03-25,1991,13,39262.0,5209325.0,753.686898014618,0
1991-04-01,1991,14,38301.0,5209325.0,735.2392104543295,0
1991-04-08,1991,15,35191.0,5209325.0,675.5385774548525,0
1991-04-15,1991,16,35150.0,5209325.0,674.7515273092004,0
1991-04-22,1991,17,32496.0,5209325.0,623.804427636978,0
1991-04-29,1991,18,18449.0,5209325.0,354.1533691985046,0
1991-05-06,1991,19,18179.0,5209325.0,348.97035604420915,0
1991-05-13,1991,20,18596.0,5209325.0,356.9752319158432,0
1991-05-20,1991,21,18118.0,5209325.0,347.79937899823875,0
1991-05-27,1991,22,16356.0,5209325.0,313.97541908020713,0
1991-06-03,1991,23,14940.0,5209325.0,286.79339453768,0
1991-06-10,1991,24,11476.0,5209325.0,220.29725540257135,0
1991-06-17,1991,25,11843.0,5209325.0,227.34231402340995,0
1991-06-24,1991,26,9472.0,5209325.0,181.82777999068978,0
1991-07-01,1991,27,8510.0,5209325.0,163.36089608538535,0
1991-07-08,1991,28,7094.0,5209325.0,136.17887154285825,0
1991-07-15,1991,29,6556.0,5209325.0,125.85123792429921,0
1991-07-22,1991,30,6462.0,5209325.0,124.04678149280377,0
