condition,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,noise_growth,24,Bayesian SINDy (spike-slab),30.0,1.0833155393394098,0.026710067153901923,True
baseline,noise_growth,24,Bayesian SINDy (spike-slab),38.0,1.1253338266306492,0.06208260624132628,True
baseline,noise_growth,24,Bayesian SINDy (spike-slab),46.0,0.9663684533792355,0.1138738911655145,True
baseline,noise_growth,24,Bayesian SINDy (spike-slab),54.0,0.2684426119856568,0.10821296075867437,True
baseline,noise_growth,24,Bayesian SINDy (spike-slab),62.0,0.37001984103189534,0.15961347880891508,True
baseline,noise_growth,24,Bayesian SINDy (spike-slab),70.0,0.595958165273929,0.2533636574078231,True
baseline,noise_growth,24,Bayesian SINDy (spike-slab),78.0,-0.21633965124283439,0.2890663363634752,True
baseline,noise_growth,24,Kalman OU,30.0,0.6237324895360428,0.028143074602203277,True
baseline,noise_growth,24,Kalman OU,38.0,1.0658073461751119,0.021944299814934287,True
baseline,noise_growth,24,Kalman OU,46.0,1.1598603770086586,0.002621006223101685,True
baseline,noise_growth,24,Kalman OU,54.0,0.7783902474736745,0.047132380182760863,True
baseline,noise_growth,24,Kalman OU,62.0,0.2791991523429225,0.18973775059199466,True
baseline,noise_growth,24,Kalman OU,70.0,0.25388522493561383,0.29258233536166484,True
baseline,noise_growth,24,Kalman OU,78.0,-0.18204102946070932,0.3492876493374966,True
baseline,noise_growth,24,Latent Neural SDE (VI),30.0,1.900340497493744,0.025049993770800666,True
baseline,noise_growth,24,Latent Neural SDE (VI),38.0,1.5851188898086548,0.07741884595938717,True
baseline,noise_growth,24,Latent Neural SDE (VI),46.0,1.605293333530426,0.06135981392059675,True
baseline,noise_growth,24,Latent Neural SDE (VI),54.0,1.4784971475601196,0.16917999634374145,True
baseline,noise_growth,24,Latent Neural SDE (VI),62.0,1.3422389030456543,0.1627023077732965,True
baseline,noise_growth,24,Latent Neural SDE (VI),70.0,1.6922650933265686,0.238821113635219,True
baseline,noise_growth,24,Latent Neural SDE (VI),78.0,0.39843225479125977,0.28102841579481386,True
baseline,noise_growth,24,Moment OU,30.0,0.3036297509648893,0.04511752588061474,True
baseline,noise_growth,24,Moment OU,38.0,0.846263167799554,0.06811782351632881,True
baseline,noise_growth,24,Moment OU,46.0,0.5294470624378763,0.14511911379643141,True
baseline,noise_growth,24,Moment OU,54.0,0.05409755915395631,0.15464163933021532,True
baseline,noise_growth,24,Moment OU,62.0,0.10682629802539778,0.2107676321238444,True
baseline,noise_growth,24,Moment OU,70.0,0.23441931246949843,0.2897855548017053,True
baseline,noise_growth,24,Moment OU,78.0,-0.3938075543723196,0.3796003933285277,True
baseline,noise_growth,24,Neural SDE (Euler),30.0,1.8438011407852173,0.03670808657449515,True
baseline,noise_growth,24,Neural SDE (Euler),38.0,1.5050338506698608,0.08754881318648056,True
baseline,noise_growth,24,Neural SDE (Euler),46.0,1.5491673946380615,0.09945725487316032,True
baseline,noise_growth,24,Neural SDE (Euler),54.0,1.4237620830535889,0.16800120552401399,True
baseline,noise_growth,24,Neural SDE (Euler),62.0,1.3483221530914307,0.16833634943036357,True
baseline,noise_growth,24,Neural SDE (Euler),70.0,1.6413377523422241,0.23727900976855287,True
baseline,noise_growth,24,Neural SDE (Euler),78.0,0.4161720275878906,0.2984807088976187,True
baseline,noise_growth,24,SINDy-STLSQ,30.0,0.5802901108918126,0.027779102230266778,True
baseline,noise_growth,24,SINDy-STLSQ,38.0,0.9006097749001932,0.061427336551959755,True
baseline,noise_growth,24,SINDy-STLSQ,46.0,0.012583037755749427,0.10655015604986318,True
baseline,noise_growth,24,SINDy-STLSQ,54.0,0.2866886396280488,0.10806951404069287,True
baseline,noise_growth,24,SINDy-STLSQ,62.0,0.5652888743897968,0.15940787110929683,True
baseline,noise_growth,24,SINDy-STLSQ,70.0,0.1638517724681181,0.24213490068455573,True
baseline,noise_growth,24,SINDy-STLSQ,78.0,-0.9025359038689791,0.28268994599772285,True
baseline,noise_growth,25,Bayesian SINDy (spike-slab),30.0,0.42336640824591243,0.007388382691543127,True
baseline,noise_growth,25,Bayesian SINDy (spike-slab),38.0,0.36333792443894825,0.004417519295584371,True
