condition,system,scenario,repetition,method,window_end,kappa_decline,sigma_growth,converged
baseline,bistable,noise_growth,20,Bayesian SINDy (spike-slab),38.0,0.41205006666598587,0.005762115799215942,True
baseline,bistable,noise_growth,20,Bayesian SINDy (spike-slab),54.0,1.0967507418033895,0.006827751710645882,True
baseline,bistable,noise_growth,20,Bayesian SINDy (spike-slab),70.0,1.8426017006972275,0.006909932577935943,True
baseline,bistable,noise_growth,20,Bayesian SINDy (spike-slab),78.0,1.6103038557022087,0.031492357172919316,True
baseline,bistable,noise_growth,20,Kalman OU,38.0,-1.547168873459624,0.03873544110018832,True
baseline,bistable,noise_growth,20,Kalman OU,54.0,-0.6102111344594707,0.033992586383198346,True
baseline,bistable,noise_growth,20,Kalman OU,70.0,0.2436272974914161,0.004774866440488551,True
baseline,bistable,noise_growth,20,Kalman OU,78.0,-0.3171000400147468,0.053604228484609016,True
baseline,bistable,noise_growth,20,Latent Neural SDE (VI),38.0,1.38881516456604,0.008090054147352005,True
baseline,bistable,noise_growth,20,Latent Neural SDE (VI),54.0,1.700270175933838,0.00600033104893391,True
baseline,bistable,noise_growth,20,Latent Neural SDE (VI),70.0,1.9664392471313477,0.010815170820973455,True
baseline,bistable,noise_growth,20,Latent Neural SDE (VI),78.0,2.876821517944336,0.03152354693041852,True
baseline,bistable,noise_growth,20,Moment OU,38.0,-1.041588985839394,0.025320322316820104,True
baseline,bistable,noise_growth,20,Moment OU,54.0,0.49302306830087916,-0.003399796383455767,True
baseline,bistable,noise_growth,20,Moment OU,70.0,-0.3114674679489762,0.020490931601527942,True
baseline,bistable,noise_growth,20,Moment OU,78.0,-0.5230770803853617,0.05949029800237189,True
baseline,bistable,noise_growth,20,Neural SDE (Euler),38.0,1.3691465854644775,0.0076730609810020944,True
baseline,bistable,noise_growth,20,Neural SDE (Euler),54.0,1.7376937866210938,0.006244701528237542,True
baseline,bistable,noise_growth,20,Neural SDE (Euler),70.0,1.9672553539276123,0.012207538186942757,True
baseline,bistable,noise_growth,20,Neural SDE (Euler),78.0,2.819256067276001,0.03334335778181796,True
baseline,bistable,noise_growth,20,SINDy-STLSQ,38.0,0.6503460184916956,0.0035776952900462983,True
baseline,bistable,noise_growth,20,SINDy-STLSQ,54.0,1.1831841143562474,0.006867678429393717,True
baseline,bistable,noise_growth,20,SINDy-STLSQ,70.0,2.8538911604761115,0.006557799536002315,True
baseline,bistable,noise_growth,20,SINDy-STLSQ,78.0,2.091882010151361,0.031000746300959364,True
baseline,bistable,noise_growth,21,Bayesian SINDy (spike-slab),38.0,1.8876659727999914,0.01691587976879093,True
baseline,bistable,noise_growth,21,Bayesian SINDy (spike-slab),54.0,1.4996921072176752,0.022432997705502652,True
baseline,bistable,noise_growth,21,Bayesian SINDy (spike-slab),70.0,3.1883581452655796,0.031793217585515204,True
baseline,bistable,noise_growth,21,Bayesian SINDy (spike-slab),78.0,2.7714541079266755,0.0324509759498406,True
baseline,bistable,noise_growth,21,Kalman OU,38.0,0.5317516221590235,0.02097334127020926,True
baseline,bistable,noise_growth,21,Kalman OU,54.0,-1.8977553944700634,0.07836122442057172,True
baseline,bistable,noise_growth,21,Kalman OU,70.0,-0.2601300288403565,0.07528478150980074,True
baseline,bistable,noise_growth,21,Kalman OU,78.0,0.09427914022581696,0.05894293816991154,True
baseline,bistable,noise_growth,21,Latent Neural SDE (VI),38.0,1.8677558898925781,0.009994331028181702,True
